,N_Sierra,S_Sierra
1997-02-14,1847.9628,697.6086
1997-02-15,1847.908,697.59863
1997-02-16,1847.8099,697.5877
1997-02-17,1848.3114,697.57904
1997-02-18,1849.8947,699.34143
1997-02-19,1852.0015,699.7388
1997-02-20,1863.1783,701.0052
1997-02-21,1863.3505,701.2108
1997-02-22,1863.3208,701.20435
1997-02-23,1863.3214,701.1986
1997-02-24,1863.3257,701.36017
1997-02-25,1863.2942,701.4107
1997-02-26,1863.2177,701.4015
1997-02-27,1863.9817,701.50824
1997-02-28,1871.2039,702.9517
1997-03-01,1872.5975,703.03186
1997-03-02,1874.9685,703.0636
1997-03-03,1880.8369,703.20526
1997-03-04,1880.8289,703.1943
1997-03-05,1880.7765,703.18353
1997-03-06,1880.6849,703.1721
1997-03-07,1880.6115,703.1606
1997-03-08,1880.5411,703.14996
1997-03-09,1880.4866,703.1393
1997-03-10,1880.417,703.1285
1997-03-11,1880.3491,703.11884
1997-03-12,1880.2832,703.06744
1997-03-13,1880.1696,697.6025
1997-03-14,1880.0422,689.56464
1997-03-15,1879.9557,680.37933
1997-03-16,1880.4159,668.7505
1997-03-17,1897.6195,661.96716
1997-03-18,1900.2803,653.00305
1997-03-19,1900.1874,642.54364
1997-03-20,1900.0316,630.3043
1997-03-21,1899.8943,615.76746
1997-03-22,1899.8126,597.03186
1997-03-23,1897.296,583.1987
1997-03-24,1892.1562,568.64105
1997-03-25,1885.6509,551.0768
1997-03-26,1877.939,535.42896
1997-03-27,1869.7888,520.9319
1997-03-28,1864.1028,505.09586
1997-03-29,1860.414,491.1884
1997-03-30,1854.4658,479.96094
1997-03-31,1854.1547,473.93622
1997-04-01,1856.2675,473.8778
1997-04-02,1857.7738,474.20828
1997-04-03,1857.8672,487.61948
1997-04-04,1857.7687,496.64813
1997-04-05,1857.6224,496.62918
1997-04-06,1857.4165,496.6109
1997-04-07,1857.2017,496.59476
1997-04-08,1857.0502,496.57947
1997-04-09,1857.5298,496.5676
1997-04-10,1857.8933,496.66937
1997-04-11,1858.5818,496.6632
1997-04-12,1858.6093,496.6515
1997-04-13,1858.515,496.64075
1997-04-14,1858.4226,496.3023
1997-04-15,1858.2095,486.24432
1997-04-16,1850.6462,472.2861
1997-04-17,1839.252,457.58972
1997-04-18,1827.849,442.24356
1997-04-19,1823.058,426.36118
1997-04-20,1815.6633,402.4779
1997-04-21,1806.1892,381.413
1997-04-22,1798.3267,351.2972
1997-04-23,1797.5969,331.34235
1997-04-24,1799.4001,324.6297
1997-04-25,1798.7291,317.87744
1997-04-26,1790.9572,291.8963
1997-04-27,1778.2151,263.12152
1997-04-28,1768.2441,232.42387
1997-04-29,1760.2499,204.83414
1997-04-30,1752.8351,173.93744
1997-05-01,1750.5657,142.94908
1997-05-02,1750.1047,108.753944
1997-05-03,1742.8015,63.566902
1997-05-04,1728.6985,13.441364
1997-05-05,1715.6317,0.0
1997-05-06,1699.7708,0.0
1997-05-07,1680.478,0.0
